time,heightAboveGround,valid_time,u10,v10
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-3.4504516,-1.5250708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-4.5504518,-1.6550708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-5.1004515,-0.8350708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-4.6404514,-0.9850708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-5.0604515,-1.5750709
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-5.8704515,-1.6150708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-5.7704515,-2.0750709
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-3.7804518,-3.9350708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-6.720452,0.4549292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-6.3104515,-3.9750707
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-8.390451,-0.2150708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-6.950452,1.2649292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-7.3604517,0.9449292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-4.8404517,2.2649293
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-5.0904517,0.7349292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-5.3004518,1.7749292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-5.3404517,2.9949293
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-4.8004518,1.7949291
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-4.240452,1.8049293
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-3.7804518,1.9849292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-4.8004518,2.9249291
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,1.9195484,-0.8150708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,2.2395484,-0.2650708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,2.2395484,-0.2150708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,1.6695484,-1.2950708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,1.4595484,-1.4550709
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,2.2295485,-0.1250708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,1.2395483,0.3449292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-0.54045165,2.2749293
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-1.5904517,1.4449292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-1.3404517,0.5249292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-1.9704517,-0.5750708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-2.9304516,-0.9650708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-4.3904514,-0.8350708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-4.8504515,-1.2750708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-5.1404514,-1.4250708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-5.200452,-0.3050708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-5.8104515,0.0749292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-5.780452,-0.7750708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-6.430452,-1.1350708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-7.240452,-1.7950708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-7.5904517,-0.7650708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-8.820452,-0.1250708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-8.160452,0.1449292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-7.3304515,0.9349292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-7.0004516,1.6749291
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-6.2704515,2.8449292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-5.3704515,1.9749292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-4.4204516,2.6549292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-4.8804517,2.1749291
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-4.0504518,2.3149292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-4.0404515,3.3949292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-3.6504517,2.4049292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,-5.470452,1.7749292
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,3.6795483,-0.8550708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,2.8295484,-1.0250708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,1.9095483,-1.5250708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,2.1895483,-1.3950708
2025-05-05 12:00:00,10.0,2025-05-05 18:00:00,3.2695484,-2.0050707
